time_step,prediction_error,is_anomaly,sensor1_original,sensor1_predicted,sensor2_original,sensor2_predicted
0,1.4224945531303683,False,0.7174932217466442,-0.19252586589399234,-1.3387204763431295,-0.24539741279224808
1,0.49239349650585024,False,-0.4726312838677691,-0.19246047616887912,0.15958749112439602,-0.2453263038909687
2,1.6768077048333856,False,-0.11041951010576842,-0.1925781621881208,1.429340381161619,-0.24545275575799455
3,1.5224557751666556,False,1.0797050884007007,-0.19235199950789478,0.5913034350630821,-0.2452009442446641
4,1.091291153522607,False,0.044814115867411006,-0.1924581625508046,0.819858950920145,-0.245325423508475
5,1.668497307438492,False,-0.8089707627972929,-0.19252264911161482,-1.7958312864479422,-0.24538813299363146
6,1.4606059831431852,False,0.6140041221858921,-0.19258868657648892,0.972229301030093,-0.24546337799538004
7,0.7476930036618431,False,-0.8348430293994381,-0.1923612893305392,-0.6276591277347373,-0.24522075967217227
8,0.43272676984938685,False,-0.4985035523418264,-0.19256763642503721,-0.5514739768495337,-0.24544415769156674
9,0.5895398257501139,False,-0.44675901524968625,-0.19244241892180308,0.2865627646202197,-0.2453014694648366
10,1.142848136184916,False,-0.5243758206716483,-0.19232423801656778,-1.3387204763431295,-0.24517609782281344
11,1.2716324842140367,False,0.924471427797532,-0.19239019379785516,0.3627479303707676,-0.24525476895068302
12,0.824104241293278,False,0.5105150249344448,-0.1923779375037858,0.18498254554812732,-0.24523502554197596
13,1.3212455511434258,False,-1.145310217400843,-0.19262197690064892,-1.1609551492895533,-0.24549335874228528
14,2.1069867801474573,False,-2.024967137621831,-0.19235973192420847,0.7944638930512302,-0.24521894146905723
15,0.7819936224100287,False,0.5622595732715578,-0.1925163493782121,-0.44989377374387385,-0.24537907547053356
16,1.2225153069959547,False,-0.26565313089039166,-0.19250685770743198,-1.4656957058332527,-0.2453709527087581
17,1.2915078395365307,False,0.35528138338601367,-0.1924306635775726,-1.4149056144490628,-0.24528893848069547
18,0.8459940361578945,False,-0.8865875621720717,-0.19257811952167864,-0.7292393269899181,-0.24544773947758328
19,2.223828250363839,False,-1.0935656875061317,-0.1924118690258394,-2.278337093336982,-0.24527719382608618
20,0.7002491491242927,False,0.044814115867411006,-0.19243176868077966,0.41353804155992235,-0.24529609221556123
21,2.4947287290831897,False,1.1831941983585708,-0.19256714122500423,1.8356613788310865,-0.24543199142143127
22,2.0338277850009026,False,-2.180200694537325,-0.1923980808354797,0.18498254554812732,-0.2452439497463188
23,1.3531926553941782,False,1.1055773656736052,-0.19248884716025594,-0.6276591277347373,-0.24535808520335028
24,1.6559819028704847,False,1.2349387542043169,-0.19258752333429108,-1.0847700070634474,-0.2454595020650554
25,1.0806907193204212,False,0.7174932217466442,-0.19257737474649506,0.3373528749827858,-0.2454524388321011
