sensor1,sensor2,time_x,speedSet,load_value,gear_fault_desc
2.522315105475361,2.431974352416892,2023-05-03 20:31:39.000000,8.33203125,0,eccentricity
2.523629154818065,2.431317329754514,2023-05-03 20:31:39.000200,8.33203125,0,eccentricity
2.522643617805543,2.428032216656363,2023-05-03 20:31:39.000400,8.33203125,0,eccentricity
2.5219865931488417,2.4306603071063884,2023-05-03 20:31:39.000600,8.33203125,0,eccentricity
2.5228078739720075,2.4301675401296463,2023-05-03 20:31:39.000800,8.33203125,0,eccentricity
2.523136386307683,2.431974352416892,2023-05-03 20:31:39.001000,8.33203125,0,eccentricity
2.522150849311644,2.4291820062002056,2023-05-03 20:31:39.001200,8.33203125,0,eccentricity
2.519851263115703,2.4311530740911462,2023-05-03 20:31:39.001400,8.33203125,0,eccentricity
2.522479361639994,2.430496051446584,2023-05-03 20:31:39.001600,8.33203125,0,eccentricity
2.5233006424768947,2.432959886437191,2023-05-03 20:31:39.001800,8.33203125,0,eccentricity
2.5229721301393875,2.429839028816271,2023-05-03 20:31:39.002000,8.33203125,0,eccentricity
2.5218223369869546,2.4308245627670835,2023-05-03 20:31:39.002200,8.33203125,0,eccentricity
2.5218223369869546,2.431317329754514,2023-05-03 20:31:39.002400,8.33203125,0,eccentricity
2.5219865931488417,2.4311530740911462,2023-05-03 20:31:39.002600,8.33203125,0,eccentricity
2.523793410990024,2.429839028816271,2023-05-03 20:31:39.002800,8.33203125,0,eccentricity
2.521001056191252,2.430988818428669,2023-05-03 20:31:39.003000,8.33203125,0,eccentricity
2.5219865931488417,2.430496051446584,2023-05-03 20:31:39.003200,8.33203125,0,eccentricity
2.5219865931488417,2.431645841083921,2023-05-03 20:31:39.003400,8.33203125,0,eccentricity
2.521329568506787,2.431317329754514,2023-05-03 20:31:39.003600,8.33203125,0,eccentricity
2.522479361639994,2.4311530740911462,2023-05-03 20:31:39.003800,8.33203125,0,eccentricity
2.522315105475361,2.430496051446584,2023-05-03 20:31:39.004000,8.33203125,0,eccentricity
2.522150849311644,2.430988818428669,2023-05-03 20:31:39.004200,8.33203125,0,eccentricity
2.5233006424768947,2.431317329754514,2023-05-03 20:31:39.004400,8.33203125,0,eccentricity
2.522150849311644,2.4308245627670835,2023-05-03 20:31:39.004600,8.33203125,0,eccentricity
